normalized_name,drug_name,ingredient_name,atc_code,atc_group_code,atc_group_name,atc_class_label,drug_class
sodium iothalamate 125i,sodium iothalamate (125I),sodium iothalamate (125I),V09CX03,V09CX,Other renal system diagnostic radiopharmaceuticals,Other renal system diagnostic radiopharmaceuticals,unknown
sodium levofolinate,sodium levofolinate,sodium levofolinate,V03AF10,V03AF,Detoxifying agents for antineoplastic treatment,Detoxifying agents for antineoplastic treatment,unknown
sodium monofluorophosphate,sodium monofluorophosphate,sodium monofluorophosphate,A12CD02,A12CD,Fluoride,Fluoride,unknown
sodium nitrite,sodium nitrite,sodium nitrite,V03AB08,V03AB,Antidotes,Antidotes,unknown
sodium oxybate,sodium oxybate,sodium oxybate,N07XX04,N07XX,Other nervous system drugs,Other nervous system drugs,unknown
sodium perborate,sodium perborate,sodium perborate,A01AB19,A01AB,Antiinfectives and antiseptics for local oral treatment,Antiinfectives and antiseptics for local oral treatment,unknown
sodium phenylbutyrate,sodium phenylbutyrate,sodium phenylbutyrate,A16AX03,A16AX,Various alimentary tract and metabolism products,Various alimentary tract and metabolism products,unknown
sodium phosphate,sodium phosphate,sodium phosphate,A06AD17,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
sodium phosphate 32p,sodium phosphate (32P),sodium phosphate (32P),V10XX01,V10XX,Various therapeutic radiopharmaceuticals,Various therapeutic radiopharmaceuticals,unknown
sodium picosulfate,sodium picosulfate,sodium picosulfate,A06AB08,A06AB,Contact laxatives,Contact laxatives,unknown
sodium propionate,sodium propionate,sodium propionate,S01AX10,S01AX,Other antiinfectives,Other antiinfectives,unknown
sodium salicylate,sodium salicylate,sodium salicylate,N02BA04,N02BA,Salicylic acid and derivatives,Salicylic acid and derivatives,unknown
sodium selenate,sodium selenate,sodium selenate,A12CE01,A12CE,Selenium,Selenium,unknown
sodium selenite,sodium selenite,sodium selenite,A12CE02,A12CE,Selenium,Selenium,unknown
sodium stibogluconate,sodium stibogluconate,sodium stibogluconate,P01CB02,P01CB,Antimony compounds,Antimony compounds,unknown
sodium sulfate,sodium sulfate,sodium sulfate,A06AD13,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
sodium tartrate,sodium tartrate,sodium tartrate,A06AD21,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
sodium tetradecyl sulfate,sodium tetradecyl sulfate,sodium tetradecyl sulfate,C05BB04,C05BB,Sclerosing agents for local injection,Sclerosing agents for local injection,unknown
sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,V03AE10,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Drugs for treatment of hyperkalemia and hyperphosphatemia,unknown
sofosbuvir,sofosbuvir,sofosbuvir,J05AP08,J05AP,Antivirals for treatment of HCV infections,Antivirals for treatment of HCV infections,unknown
solifenacin,solifenacin,solifenacin,G04BD08,G04BD,Drugs for urinary frequency and incontinence,Drugs for urinary frequency and incontinence,unknown
solithromycin,solithromycin,solithromycin,J01FA16,J01FA,Macrolides,Macrolides,macrolide
solriamfetol,solriamfetol,solriamfetol,N06BA14,N06BA,Centrally acting sympathomimetics,Centrally acting sympathomimetics,unknown
somapacitan,somapacitan,somapacitan,H01AC07,H01AC,Somatropin and somatropin agonists,Somatropin and somatropin agonists,unknown
somatorelin,somatorelin,somatorelin,V04CD05,V04CD,Tests for pituitary function,Tests for pituitary function,unknown
somatostatin,somatostatin,somatostatin,H01CB01,H01CB,Somatostatin and analogues,Somatostatin and analogues,unknown
somatrem,somatrem,somatrem,H01AC02,H01AC,Somatropin and somatropin agonists,Somatropin and somatropin agonists,unknown
somatropin,somatropin,somatropin,H01AC01,H01AC,Somatropin and somatropin agonists,Somatropin and somatropin agonists,unknown
sonidegib,sonidegib,sonidegib,L01XJ02,L01XJ,Hedgehog pathway inhibitors,Hedgehog pathway inhibitors,unknown
sorafenib,sorafenib,sorafenib,L01EX02,L01EX,Other protein kinase inhibitors,Other protein kinase inhibitors,unknown
sorbitol,sorbitol,sorbitol,A06AD18,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
sotagliflozin,sotagliflozin,sotagliflozin,A10BK06,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,unknown
sotalol,sotalol,sotalol,C07AA07,C07AA,"Beta blocking agents, non-selective","Beta blocking agents, non-selective",beta_blocker
spaglumic acid,spaglumic acid,spaglumic acid,R01AC05,R01AC,"Antiallergic agents, excl. corticosteroids","Antiallergic agents, excl. corticosteroids",unknown
sparfloxacin,sparfloxacin,sparfloxacin,J01MA09,J01MA,Fluoroquinolones,Fluoroquinolones,fluoroquinolone
sparteine,sparteine,sparteine,C01BA04,C01BA,"Antiarrhythmics, class Ia","Antiarrhythmics, class Ia",unknown
spectinomycin,spectinomycin,spectinomycin,J01XX04,J01XX,Other antibacterials,Other antibacterials,unknown
spiramycin,spiramycin,spiramycin,J01FA02,J01FA,Macrolides,Macrolides,macrolide
spirapril,spirapril,spirapril,C09AA11,C09AA,"ACE inhibitors, plain","ACE inhibitors, plain",ace_inhibitor
spironolactone,spironolactone,spironolactone,C03DA01,C03DA,Aldosterone antagonists,Aldosterone antagonists,unknown
stannous fluoride,stannous fluoride,stannous fluoride,A01AA04,A01AA,Caries prophylactic agents,Caries prophylactic agents,unknown
stanozolol,stanozolol,stanozolol,A14AA02,A14AA,Androstan derivatives,Androstan derivatives,unknown
staphylococcus immunoglobulin,staphylococcus immunoglobulin,staphylococcus immunoglobulin,J06BB08,J06BB,Specific immunoglobulins,Specific immunoglobulins,unknown
stavudine,stavudine,stavudine,J05AF04,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Nucleoside and nucleotide reverse transcriptase inhibitors,unknown
stem cells from umbilical cord blood,stem cells from umbilical cord blood,stem cells from umbilical cord blood,B05AX04,B05AX,Other blood products,Other blood products,unknown
stepronin,stepronin,stepronin,R05CB11,R05CB,Mucolytics,Mucolytics,unknown
sterculia,sterculia,sterculia,A06AC03,A06AC,Bulk-forming laxatives,Bulk-forming laxatives,unknown
stibophen,stibophen,stibophen,P02BX03,P02BX,Other antitrematodal agents,Other antitrematodal agents,unknown
stiripentol,stiripentol,stiripentol,N03AX17,N03AX,Other antiepileptics,Other antiepileptics,unknown
stramoni preparations,stramoni preparations,stramoni preparations,R03BB03,R03BB,Anticholinergics,Anticholinergics,unknown
streptoduocin,streptoduocin,streptoduocin,J01GA02,J01GA,Streptomycins,Streptomycins,unknown
streptokinase,streptokinase,streptokinase,B01AD01,B01AD,Enzymes,Enzymes,unknown
streptomycin,streptomycin,streptomycin,J01GA01,J01GA,Streptomycins,Streptomycins,unknown
streptozocin,streptozocin,streptozocin,L01AD04,L01AD,Nitrosoureas,Nitrosoureas,unknown
strontium 89sr chloride,strontium (89Sr) chloride,strontium (89Sr) chloride,V10BX01,V10BX,Various pain palliation radiopharmaceuticals,Various pain palliation radiopharmaceuticals,unknown
strontium ranelate,strontium ranelate,strontium ranelate,M05BX03,M05BX,Other drugs affecting bone structure and mineralization,Other drugs affecting bone structure and mineralization,unknown
styramate,styramate,styramate,M03BA04,M03BA,Carbamic acid esters,Carbamic acid esters,unknown
succinimide,succinimide,succinimide,G04BX10,G04BX,Other urologicals,Other urologicals,unknown
succinylsulfathiazole,succinylsulfathiazole,succinylsulfathiazole,A07AB04,A07AB,Sulfonamides,Sulfonamides,unknown
sucralfate,sucralfate,sucralfate,A02BX02,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),unknown
sucroferric oxyhydroxide,sucroferric oxyhydroxide,sucroferric oxyhydroxide,V03AE05,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Drugs for treatment of hyperkalemia and hyperphosphatemia,unknown
sufentanil,sufentanil,sufentanil,N01AH03,N01AH,Opioid anesthetics,Opioid anesthetics,unknown
sugammadex,sugammadex,sugammadex,V03AB35,V03AB,Antidotes,Antidotes,unknown
sulbactam,sulbactam,sulbactam,J01CG01,J01CG,Beta-lactamase inhibitors,Beta-lactamase inhibitors,penicillin
sulbenicillin,sulbenicillin,sulbenicillin,J01CA16,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
sulbentine,sulbentine,sulbentine,D01AE09,D01AE,Other antifungals for topical use,Other antifungals for topical use,unknown
sulbutiamine,sulbutiamine,sulbutiamine,A11DA02,A11DA,"Vitamin B1, plain","Vitamin B1, plain",unknown
sulconazole,sulconazole,sulconazole,D01AC09,D01AC,Imidazole and triazole derivatives,Imidazole and triazole derivatives,unknown
sulfacetamide,sulfacetamide,sulfacetamide,D10AF06,D10AF,Antiinfectives for treatment of acne,Antiinfectives for treatment of acne,unknown
sulfadiazine,sulfadiazine,sulfadiazine,J01EC02,J01EC,Intermediate-acting sulfonamides,Intermediate-acting sulfonamides,sulfonamide
sulfadicramide,sulfadicramide,sulfadicramide,S01AB03,S01AB,Sulfonamides,Sulfonamides,unknown
sulfadimethoxine,sulfadimethoxine,sulfadimethoxine,J01ED01,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfadimidine,sulfadimidine,sulfadimidine,J01EB03,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfafenazol,sulfafenazol,sulfafenazol,S01AB05,S01AB,Sulfonamides,Sulfonamides,unknown
sulfafurazole,sulfafurazole,sulfafurazole,J01EB05,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfaguanidine,sulfaguanidine,sulfaguanidine,A07AB03,A07AB,Sulfonamides,Sulfonamides,unknown
sulfaisodimidine,sulfaisodimidine,sulfaisodimidine,J01EB01,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfalene,sulfalene,sulfalene,J01ED02,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfamazone,sulfamazone,sulfamazone,J01ED09,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfamerazine,sulfamerazine,sulfamerazine,J01ED07,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfamethizole,sulfamethizole,sulfamethizole,J01EB02,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfamethoxazole,sulfamethoxazole,sulfamethoxazole,J01EC01,J01EC,Intermediate-acting sulfonamides,Intermediate-acting sulfonamides,sulfonamide
sulfamethoxypyridazine,sulfamethoxypyridazine,sulfamethoxypyridazine,J01ED05,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfametomidine,sulfametomidine,sulfametomidine,J01ED03,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfametoxydiazine,sulfametoxydiazine,sulfametoxydiazine,J01ED04,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfamoxole,sulfamoxole,sulfamoxole,J01EC03,J01EC,Intermediate-acting sulfonamides,Intermediate-acting sulfonamides,sulfonamide
sulfanilamide,sulfanilamide,sulfanilamide,J01EB06,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfaperin,sulfaperin,sulfaperin,J01ED06,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfaphenazole,sulfaphenazole,sulfaphenazole,J01ED08,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,sulfonamide
sulfapyridine,sulfapyridine,sulfapyridine,J01EB04,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfasalazine,sulfasalazine,sulfasalazine,A07EC01,A07EC,Aminosalicylic acid and similar agents,Aminosalicylic acid and similar agents,unknown
sulfathiazole,sulfathiazole,sulfathiazole,J01EB07,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfathiourea,sulfathiourea,sulfathiourea,J01EB08,J01EB,Short-acting sulfonamides,Short-acting sulfonamides,sulfonamide
sulfatolamide,sulfatolamide,sulfatolamide,G01AE01,G01AE,Sulfonamides,Sulfonamides,unknown
sulfinpyrazone,sulfinpyrazone,sulfinpyrazone,M04AB02,M04AB,Preparations increasing uric acid excretion,Preparations increasing uric acid excretion,unknown
sulfobromophthalein,sulfobromophthalein,sulfobromophthalein,V04CE02,V04CE,Tests for liver functional capacity,Tests for liver functional capacity,unknown
sulfur,sulfur,sulfur,D10AB02,D10AB,Preparations containing sulfur,Preparations containing sulfur,unknown
sulfur compounds,sulfur compounds,sulfur compounds,D11AC08,D11AC,Medicated shampoos,Medicated shampoos,unknown
sulglicotide,sulglicotide,sulglicotide,A02BX08,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),unknown
sulindac,sulindac,sulindac,M01AB02,M01AB,Acetic acid derivatives and related substances,Acetic acid derivatives and related substances,nsaid
suloctidil,suloctidil,suloctidil,C04AX19,C04AX,Other peripheral vasodilators,Other peripheral vasodilators,unknown
sulodexide,sulodexide,sulodexide,B01AB11,B01AB,Heparin group,Heparin group,unknown
sulpiride,sulpiride,sulpiride,N05AL01,N05AL,Benzamides,Benzamides,unknown
sulprostone,sulprostone,sulprostone,G02AD05,G02AD,Prostaglandins,Prostaglandins,unknown
sultamicillin,sultamicillin,sultamicillin,J01CR04,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors","Combinations of penicillins, incl. beta-lactamase inhibitors",penicillin
sultiame,sultiame,sultiame,N03AX03,N03AX,Other antiepileptics,Other antiepileptics,unknown
sultopride,sultopride,sultopride,N05AL02,N05AL,Benzamides,Benzamides,unknown
sumatriptan,sumatriptan,sumatriptan,N02CC01,N02CC,Selective serotonin (5HT1) agonists,Selective serotonin (5HT1) agonists,unknown
sunitinib,sunitinib,sunitinib,L01EX01,L01EX,Other protein kinase inhibitors,Other protein kinase inhibitors,unknown
suprofen,suprofen,suprofen,M01AE07,M01AE,Propionic acid derivatives,Propionic acid derivatives,nsaid
suramin sodium,suramin sodium,suramin sodium,P01CX02,P01CX,Other agents against leishmaniasis and trypanosomiasis,Other agents against leishmaniasis and trypanosomiasis,unknown
susoctocog alfa,susoctocog alfa,susoctocog alfa,B02BD14,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
suvorexant,suvorexant,suvorexant,N05CM19,N05CM,Other hypnotics and sedatives,Other hypnotics and sedatives,unknown
suxamethonium,suxamethonium,suxamethonium,M03AB01,M03AB,Choline derivatives,Choline derivatives,unknown
suxibuzone,suxibuzone,suxibuzone,M02AA22,M02AA,"Antiinflammatory preparations, non-steroids for topical use","Antiinflammatory preparations, non-steroids for topical use",nsaid
tacalcitol,tacalcitol,tacalcitol,D05AX04,D05AX,Other antipsoriatics for topical use,Other antipsoriatics for topical use,unknown
tacrine,tacrine,tacrine,N06DA01,N06DA,Anticholinesterases,Anticholinesterases,unknown
tacrolimus,tacrolimus,tacrolimus,L04AD02,L04AD,Calcineurin inhibitors,Calcineurin inhibitors,unknown
tadalafil,tadalafil,tadalafil,G04BE08,G04BE,Drugs used in erectile dysfunction,Drugs used in erectile dysfunction,unknown
tafamidis,tafamidis,tafamidis,N07XX08,N07XX,Other nervous system drugs,Other nervous system drugs,unknown
tafasitamab,tafasitamab,tafasitamab,L01XC35,L01XC,Monoclonal antibodies,Monoclonal antibodies,unknown
tafenoquine,tafenoquine,tafenoquine,P01BA07,P01BA,Aminoquinolines,Aminoquinolines,unknown
tafluprost,tafluprost,tafluprost,S01EE05,S01EE,Prostaglandin analogues,Prostaglandin analogues,unknown
tagraxofusp,tagraxofusp,tagraxofusp,L01XX67,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
talampicillin,talampicillin,talampicillin,J01CA15,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
talastine,talastine,talastine,R06AB07,R06AB,Substituted alkylamines,Substituted alkylamines,antihistamine
talazoparib,talazoparib,talazoparib,L01XK04,L01XK,Poly (ADP-ribose) polymerase (PARP) inhibitors,Poly (ADP-ribose) polymerase (PARP) inhibitors,unknown
talbutal,talbutal,talbutal,N05CA07,N05CA,"Barbiturates, plain","Barbiturates, plain",unknown
taliglucerase alfa,taliglucerase alfa,taliglucerase alfa,A16AB11,A16AB,Enzymes,Enzymes,unknown
talimogene laherparepvec,talimogene laherparepvec,talimogene laherparepvec,L01XX51,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
talinolol,talinolol,talinolol,C07AB13,C07AB,"Beta blocking agents, selective","Beta blocking agents, selective",beta_blocker
tamoxifen,tamoxifen,tamoxifen,L02BA01,L02BA,Anti-estrogens,Anti-estrogens,unknown
tamsulosin,tamsulosin,tamsulosin,G04CA02,G04CA,Alpha-adrenoreceptor antagonists,Alpha-adrenoreceptor antagonists,unknown
tapentadol,tapentadol,tapentadol,N02AX06,N02AX,Other opioids,Other opioids,opioid
tasimelteon,tasimelteon,tasimelteon,N05CH03,N05CH,Melatonin receptor agonists,Melatonin receptor agonists,unknown
tasonermin,tasonermin,tasonermin,L03AX11,L03AX,Other immunostimulants,Other immunostimulants,unknown
tasosartan,tasosartan,tasosartan,C09CA05,C09CA,"Angiotensin II receptor blockers (ARBs), plain","Angiotensin II receptor blockers (ARBs), plain",arb
taurolidine,taurolidine,taurolidine,B05CA05,B05CA,Antiinfectives,Antiinfectives,unknown
tavaborole,tavaborole,tavaborole,D01AE24,D01AE,Other antifungals for topical use,Other antifungals for topical use,unknown
tazarotene,tazarotene,tazarotene,D05AX05,D05AX,Other antipsoriatics for topical use,Other antipsoriatics for topical use,unknown
tazobactam,tazobactam,tazobactam,J01CG02,J01CG,Beta-lactamase inhibitors,Beta-lactamase inhibitors,penicillin
tebipenem pivoxil,tebipenem pivoxil,tebipenem pivoxil,J01DH06,J01DH,Carbapenems,Carbapenems,unknown
technetium 99mtc anticarcinoembryonicantigen antibody,technetium (99mTc) antiCarcinoEmbryonicAntigen antibody,technetium (99mTc) antiCarcinoEmbryonicAntigen antibody,V09IA01,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc antigranulocyte antibody,technetium (99mTc) antigranulocyte antibody,technetium (99mTc) antigranulocyte antibody,V09HA03,V09HA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc antimelanoma antibody,technetium (99mTc) antimelanoma antibody,technetium (99mTc) antimelanoma antibody,V09IA02,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc apcitide,technetium (99mTc) apcitide,technetium (99mTc) apcitide,V09GA07,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc arcitumomab,technetium (99mTc) arcitumomab,technetium (99mTc) arcitumomab,V09IA06,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc bicisate,technetium (99mTc) bicisate,technetium (99mTc) bicisate,V09AA02,V09AA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc butedronic acid,technetium (99mTc) butedronic acid,technetium (99mTc) butedronic acid,V09BA04,V09BA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc depreotide,technetium (99mTc) depreotide,technetium (99mTc) depreotide,V09IA05,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc disofenin,technetium (99mTc) disofenin,technetium (99mTc) disofenin,V09DA01,V09DA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc etarfolatide,technetium (99mTc) etarfolatide,technetium (99mTc) etarfolatide,V09IA08,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc ethylenedicysteine,technetium (99mTc) ethylenedicysteine,technetium (99mTc) ethylenedicysteine,V09CA06,V09CA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc etifenin,technetium (99mTc) etifenin,technetium (99mTc) etifenin,V09DA02,V09DA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc exametazime,technetium (99mTc) exametazime,technetium (99mTc) exametazime,V09AA01,V09AA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc exametazime labelled cells,technetium (99mTc) exametazime labelled cells,technetium (99mTc) exametazime labelled cells,V09HA02,V09HA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc furifosmin,technetium (99mTc) furifosmin,technetium (99mTc) furifosmin,V09GA05,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc galtifenin,technetium (99mTc) galtifenin,technetium (99mTc) galtifenin,V09DA05,V09DA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc gluceptate,technetium (99mTc) gluceptate,technetium (99mTc) gluceptate,V09CA04,V09CA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc gluconate,technetium (99mTc) gluconate,technetium (99mTc) gluconate,V09CA05,V09CA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc human albumin,technetium (99mTc) human albumin,technetium (99mTc) human albumin,V09GA04,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc human immunoglobulin,technetium (99mTc) human immunoglobulin,technetium (99mTc) human immunoglobulin,V09HA01,V09HA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc hynic-octreotide,technetium (99mTc) hynic-octreotide,technetium (99mTc) hynic-octreotide,V09IA07,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc lidofenin,technetium (99mTc) lidofenin,technetium (99mTc) lidofenin,V09DA03,V09DA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc macrosalb,technetium (99mTc) macrosalb,technetium (99mTc) macrosalb,V09EB01,V09EB,"Technetium (99mTc), particles for injection","Technetium (99mTc), particles for injection",unknown
technetium 99mtc mebrofenin,technetium (99mTc) mebrofenin,technetium (99mTc) mebrofenin,V09DA04,V09DA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc medronic acid,technetium (99mTc) medronic acid,technetium (99mTc) medronic acid,V09BA02,V09BA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc mertiatide,technetium (99mTc) mertiatide,technetium (99mTc) mertiatide,V09CA03,V09CA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc microcolloid,technetium (99mTc) microcolloid,technetium (99mTc) microcolloid,V09DB02,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc microspheres,technetium (99mTc) microspheres,technetium (99mTc) microspheres,V09EB02,V09EB,"Technetium (99mTc), particles for injection","Technetium (99mTc), particles for injection",unknown
technetium 99mtc millimicrospheres,technetium (99mTc) millimicrospheres,technetium (99mTc) millimicrospheres,V09DB03,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc nanocolloid,technetium (99mTc) nanocolloid,technetium (99mTc) nanocolloid,V09DB01,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc oxidronic acid,technetium (99mTc) oxidronic acid,technetium (99mTc) oxidronic acid,V09BA01,V09BA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc pentavalent succimer,technetium (99mTc) pentavalent succimer,technetium (99mTc) pentavalent succimer,V09IA03,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc pentetic acid,technetium (99mTc) pentetic acid,technetium (99mTc) pentetic acid,V09CA01,V09CA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc pertechnetate,technetium (99mTc) pertechnetate,technetium (99mTc) pertechnetate,V09FX01,V09FX,Various thyroid diagnostic radiopharmaceuticals,Various thyroid diagnostic radiopharmaceuticals,unknown
technetium 99mtc phytate,technetium (99mTc) phytate,technetium (99mTc) phytate,V09DB07,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc pyrophosphate,technetium (99mTc) pyrophosphate,technetium (99mTc) pyrophosphate,V09BA03,V09BA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc rheniumsulfide colloid,technetium (99mTc) rheniumsulfide colloid,technetium (99mTc) rheniumsulfide colloid,V09DB06,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc sestamibi,technetium (99mTc) sestamibi,technetium (99mTc) sestamibi,V09GA01,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc stannous agent labelled cells,technetium (99mTc) stannous agent labelled cells,technetium (99mTc) stannous agent labelled cells,V09GA06,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc succimer,technetium (99mTc) succimer,technetium (99mTc) succimer,V09CA02,V09CA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc sulesomab,technetium (99mTc) sulesomab,technetium (99mTc) sulesomab,V09HA04,V09HA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc sulfur colloid,technetium (99mTc) sulfur colloid,technetium (99mTc) sulfur colloid,V09DB05,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc teboroxime,technetium (99mTc) teboroxime,technetium (99mTc) teboroxime,V09GA03,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc technegas,technetium (99mTc) technegas,technetium (99mTc) technegas,V09EA02,V09EA,"Technetium (99mTc), inhalants","Technetium (99mTc), inhalants",unknown
technetium 99mtc tetrofosmin,technetium (99mTc) tetrofosmin,technetium (99mTc) tetrofosmin,V09GA02,V09GA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc tilmanocept,technetium (99mTc) tilmanocept,technetium (99mTc) tilmanocept,V09IA09,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
technetium 99mtc tin colloid,technetium (99mTc) tin colloid,technetium (99mTc) tin colloid,V09DB04,V09DB,"Technetium (99mTc), particles and colloids","Technetium (99mTc), particles and colloids",unknown
technetium 99mtc votumumab,technetium (99mTc) votumumab,technetium (99mTc) votumumab,V09IA04,V09IA,Technetium (99mTc) compounds,Technetium (99mTc) compounds,unknown
teclozan,teclozan,teclozan,P01AC04,P01AC,Dichloroacetamide derivatives,Dichloroacetamide derivatives,unknown
tecovirimat,tecovirimat,tecovirimat,J05AX24,J05AX,Other antivirals,Other antivirals,unknown
tedisamil,tedisamil,tedisamil,C01BD06,C01BD,"Antiarrhythmics, class III","Antiarrhythmics, class III",unknown
tedizolid,tedizolid,tedizolid,J01XX11,J01XX,Other antibacterials,Other antibacterials,unknown
teduglutide,teduglutide,teduglutide,A16AX08,A16AX,Various alimentary tract and metabolism products,Various alimentary tract and metabolism products,unknown
tegafur,tegafur,tegafur,L01BC03,L01BC,Pyrimidine analogues,Pyrimidine analogues,unknown
tegaserod,tegaserod,tegaserod,A06AX06,A06AX,Other drugs for constipation,Other drugs for constipation,unknown
teicoplanin,teicoplanin,teicoplanin,J01XA02,J01XA,Glycopeptide antibacterials,Glycopeptide antibacterials,unknown
telaprevir,telaprevir,telaprevir,J05AP02,J05AP,Antivirals for treatment of HCV infections,Antivirals for treatment of HCV infections,unknown
telavancin,telavancin,telavancin,J01XA03,J01XA,Glycopeptide antibacterials,Glycopeptide antibacterials,unknown
